"external_gene_name","entrezgene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"PADI2",11240,-1.51767569372339,6.78691411626558,-7.63939560229493,2.74784409520621e-11,5.26777878914894e-10,15.229649580423,"Down"
"GCNT2",2651,-1.39414852505276,6.04756268783028,-8.08558735940086,3.44484775596814e-12,8.34761758057982e-11,17.2769250066858,"Down"
"CD24P4",NA,-1.02462995311364,12.0308098894745,-6.36398661467926,9.07199240817404e-09,9.43586631393063e-08,9.52909259587313,"Down"
"RHOU",58480,-1.17995449382139,8.50718456048082,-6.18811519856844,1.97159528244101e-08,1.87063960011391e-07,8.7688565104583,"Down"
"SLC16A1",6566,-2.03678600433283,8.03638535332029,-9.60833610644597,2.71010153288726e-15,1.29112459228147e-13,24.3371533673213,"Down"
"CLDN8",9073,-4.78152700224067,7.45106615811934,-7.38331968333795,8.97214936940425e-11,1.50467907100196e-09,14.0641941857442,"Down"
"PNLIPRP2",5408,-2.56241752846109,6.73280699778162,-5.12166343390371,1.81683490729503e-06,1.05514784258256e-05,4.3596174315853,"Down"
"CDC42P6",NA,-1.34466177897774,9.85835461676032,-8.24834330077474,1.60946968579494e-12,4.20084832715603e-11,18.0277434533844,"Down"
"GBA3",57733,-2.40290659392161,7.0533171295586,-6.49575473862744,5.04844946340529e-09,5.56395665566558e-08,10.1036498656705,"Down"
"NRIP1",8204,-1.34710160816628,9.82285282554722,-13.5864186282506,3.65737309367156e-23,1.18938833114342e-20,42.2520494220258,"Down"
"ANKS4B",257629,-1.37373847740382,6.60155296388137,-9.19133317201275,1.92254286733414e-14,7.74505195693193e-13,22.4004437653326,"Down"
"CYP51A1P2",NA,-1.50447885718551,9.23475101424056,-10.5219386470777,3.77950291750625e-17,2.80822072734843e-15,28.5623659821107,"Down"
"CDHR5",53841,-1.05205834112865,7.27389061591662,-5.33377745108788,7.60566945365097e-07,4.85115454435686e-06,5.20500896007297,"Down"
"MEP1B",4225,-2.06000902112538,5.95880501842453,-5.82248733538593,9.65957092357261e-08,7.69986188113839e-07,7.21533862104339,"Down"
"YWHAE",7531,-1.72117514202448,9.22612920422246,-14.050859900095,4.90029607378249e-24,2.07467440753972e-21,44.2361494658767,"Down"
"APOBEC3B",9582,-1.79349243726282,8.49711937147799,-7.81110079820987,1.23820344300651e-11,2.62857588056982e-10,16.0152887392068,"Down"
"DSG2-AS1",NA,-1.52192863976458,5.6546871458047,-14.9917444317733,9.06091418095303e-26,5.80908152304014e-23,48.1715638904431,"Down"
"EMILIN3",90187,-1.17168122400352,6.53533032662707,-11.8580116412114,8.06153704501258e-20,1.07363509340873e-17,34.6449869854282,"Down"
"KLHL12P1",NA,-1.1985011254188,6.73997817567295,-13.2959277148245,1.3027789803058e-22,3.48984406350139e-20,40.9975600542762,"Down"
"VDAC1P1",NA,-1.06627406015431,10.3408284271547,-8.52457317836605,4.41029885157332e-13,1.3073011351447e-11,19.3055910538797,"Down"
"RRN3",54700,-1.06318258858238,7.78726502369191,-11.9421576268354,5.50123198591434e-20,7.76365688880075e-18,35.0228294484753,"Down"
"DSC2",1824,-1.11242595597985,9.56090215790318,-6.38090561438969,8.41609316329179e-09,8.80437410005791e-08,9.60263504496298,"Down"
"DHRS11",79154,-1.6506390170961,9.1336262858837,-5.79936640152373,1.06676994558395e-07,8.43752231545941e-07,7.11843168016612,"Down"
"TEX11",56159,-1.26786343853211,5.97706592369067,-4.77012284026761,7.40846728329112e-06,3.72481732847344e-05,2.99970037649397,"Down"
"API5P1",NA,-1.76270794757721,7.29128604448854,-16.6718251282719,9.62671241219977e-29,2.70017249771688e-25,54.9104870090861,"Down"
"HNF4G",3174,-1.63362109445495,7.07009426665438,-11.0597139410417,3.12517647816189e-18,2.95889599128585e-16,31.0278298345129,"Down"
"SNORA63",NA,-2.4094115506368,5.44127578417511,-14.0630273273726,4.65056855216263e-24,2.00680976426879e-21,44.2877657197846,"Down"
"CLIC4P1",NA,-1.58565282049262,7.1446099403455,-11.3191014854075,9.46466812744324e-19,1.03598872249609e-16,32.209247155915,"Down"
"VPS26C",10311,-1.01118800861746,7.93015171936451,-12.7473769093419,1.47322820606826e-21,2.87458849704049e-19,38.6012680630961,"Down"
"IMPA2",3613,-1.03678867518432,10.0830234092794,-7.00382122937047,5.10468676452609e-10,7.19478058628693e-09,12.3537250883903,"Down"
"CEACAM7",1087,-1.98011712069701,11.2472408474407,-5.13083032540072,1.75032569719439e-06,1.02147095759025e-05,4.39578243185269,"Down"
"CXADR",1525,-1.05279308485772,9.28801154688017,-7.60253044094252,3.25958651812269e-11,6.12065789792092e-10,15.0613843588046,"Down"
"IL2RG",3561,-1.57636669400258,8.58327971452298,-11.7248730060452,1.47777023311279e-19,1.83202686523856e-17,34.045741564158,"Down"
